,text,label,processed
0,spanyol bakar hutan selatan negara bakar barat minggu,1,di spanyol bakar hutan baru jadi di selatan negara itu telah bakar di barat dalam minggu akhir
1,suhu turun portugal stlah capai rekor juli celcius msih capai dc dgn distrik dlm siaga merah amp dri tugas madam bakar tangan bakar hutan wenang httpstcozgwanuw,1,sementara suhu turun sedikit di portugal stlah capai rekor juli 47 celcius mereka msih kira capai 40 dc di be2rapa tempat dgn lima distrik dlm siaga merah amp lebih dri 1 000 tugas madam bakar tangan 17 bakar hutan kata pihak wenang https t co 3zgwanu57w
2,suhu terik picu bakar hutan hancur prancis spanyol portugal paksa evakuasi ribu orang orang tinggal spanyol portugal suhu httpstcosddtxz,1,suhu yang terik telah picu bakar hutan yang hancur di prancis spanyol dan portugal dan paksa evakuasi ribu orang tidak 322 orang telah tinggal di spanyol dan portugal karena suhu yang lebih https t co s1dd77txz9
3,bakar hutan takat musnah hektar hutan belukar sepanyol gelombang haba landa minggu khidmat cemas bangsa getaranmy luarnegara httpstcopvfglkyas,1,bakar hutan takat ini telah musnah lebih 22 000 hektar hutan dan belukar di sepanyol sejak gelombang haba landa minggu lalu turut khidmat cemas bangsa getaranmy luarnegara https t co pvfglky4as
4,kota bahan bumi utara lapor suhu panas ekstrem parah bakar hutan sengat panas ratus orang tewas bas ribu orang evakuasi internasional adadikompas httpstcoyqmleprqh,1,bagai kota di bahan bumi utara lapor suhu panas ekstrem yang lebih parah dari belum bakar hutan dan sengat panas buat ratus orang tewas dan bas ribu orang evakuasi internasional adadikompas https t co yqmleprq6h
5,gelombang haba cetus bakar hutan sepanyol perancis malaysianow news flashnews france spain heatwave httpstcoalhxugiv,1,gelombang haba terus cetus bakar hutan di sepanyol perancis malaysianow news flashnews france spain heatwave https t co al3hxug7iv
6,suhu lebih darjah celcius selatan barat daya sepanyol httpstcorbbnbbkx,1,suhu lebih 44 darjah celcius di selatan dan barat daya sepanyol https t co rbbn59bbkx
7,bakar hutan prancis httpstcoscxdbau,1,bakar hutan di prancis https t co s1cxdb4a9u
8,cuaca panas ekstrem sebab bakar hutan perancis httpstcoirvjmfzzyo,1,cuaca panas ekstrem sebab bakar hutan di perancis https t co irvjmfzzyo
9,suhu lebih darjah celcius selatan barat daya sepanyol httpstcorbbnbbkx,1,suhu lebih 44 darjah celcius di selatan dan barat daya sepanyol https t co rbbn59bbkx
10,asn pemkab bengkal tanggung abdi masyarakat httpstcofvfxiogq apel siaga darurat bencana bakar hutan lahan kabupaten bengkal upacara ingat sadar nasional hkn gelar senin juli httpstcojlqopfvx,1,asn pemkab bengkal ingat tanggung jawab bagai abdi masyarakat https t co fvfxiog0q1 - apel siaga darurat bencana bakar hutan dan lahan kabupaten bengkal serta upacara ingat hari sadar nasional hkn gelar senin 18 juli 2022 https t co jlq6o6pfvx
11,yowesbeen nyesek bet udah kaya bakar hutan,1,yowesbeen nyesek bet udah kaya ada di tengah bakar hutan
12,sebab gelombang haba bakar hutan pine laku bordeaux perancis orang paksa pindah bakar laku la testedebuch landiras paksa org org pindah,1,sebab gelombang haba ketika ini 2 bakar hutan pine besar sedang laku lama 6 hari di bordeaux perancis 14 000 orang paksa pindah bakar laku di la teste-de-buch dan landiras paksa 10 000 org dan 4 100 org pindah
13,aksi damkar jibaku lawan bakar hutan prancis httpstcofmmicpod,1,aksi damkar jibaku lawan bakar hutan di prancis https t co f4m5micpod
14,sebab gelombang haba bakar hutan pine laku bordeaux perancis orang paksa pindah bakar laku la testedebuch landiras paksa org org pindah,1,sebab gelombang haba ketika ini 2 bakar hutan pine besar sedang laku lama 6 hari di bordeaux perancis 14 000 orang paksa pindah bakar laku di la teste-de-buch dan landiras paksa 10 000 org dan 4 100 org pindah
15,eropa tingkat suhu eropa bakar hutan negara luas gabung telegram kabar baru httpstcoxwpuoexkou httpstcopnbboweig,1,eropa karena tingkat suhu di eropa bakar hutan di bagai negara luas gabung di telegram di bawah ini untuk kabar baru https t co xwpuoexkou https t co pnbbow5eig
16,eropa tingkat suhu eropa bakar hutan negara luas gabung telegram kabar baru httpstcoxwpuoexkou httpstcopnbboweig,1,eropa karena tingkat suhu di eropa bakar hutan di bagai negara luas gabung di telegram di bawah ini untuk kabar baru https t co xwpuoexkou https t co pnbbow5eig
17,eropa tingkat suhu eropa bakar hutan negara luas gabung telegram kabar baru httpstcoxwpuoexkou httpstcopnbboweig,1,eropa karena tingkat suhu di eropa bakar hutan di bagai negara luas gabung di telegram di bawah ini untuk kabar baru https t co xwpuoexkou https t co pnbbow5eig
18,potret tugas damkar lokasi bakar hutan lahan sebar provinsi gironde selatan prancis cek foto lengkap httpstcojufxbscno httpstcoscqaknaiy,1,potret tugas damkar kerja di lokasi bakar hutan dan lahan yang sebar di provinsi gironde selatan prancis cek foto lengkap https t co juf6xbscno https t co sc6qaknaiy
19,negara barat hadap cuaca panas yg lampau bakar hutan laku meratarata,1,negara2 barat tengah hadap cuaca panas yg lampau bakar hutan laku rata
