Unnamed: 0,neg,neu,pos,compound,comp_score
gue suprise sih citayam fashion week issuenya lgbt jujur nih gue asisten rumah tangga anak punk malas gak kerja mau gaul rumah motor jd mnrtku kudu bina produktif aja ganggu jam produktif scbd,0.0,1.0,0.0,0.0,neu
rt thefirstxxviii nahh pdhal dri kagak tuh bikin fashion week sgla macem niat gasampe kesana mah c,0.0,1.0,0.0,0.0,neu
rt valosenadya ayo dng jujur yg citayam fashion week scbd apresiasi menparkeraf iku,0.0,1.0,0.0,0.0,neu
rt suckerzpunch nih rapper ga laku dalem hati buset keren banget gue ngerap tantang lgbt scbd citayam fashion week biar,0.0,1.0,0.0,0.0,neu
nasi citayam fashion week videodreamcoid videoupdate dreamcoidupdate citayamfashionweek scbd httpstcoelcbtzjxs,0.0,1.0,0.0,0.0,neu
rt ulistiani remaja scbd bingung nongkrong citayem fashion week dibubarin cobain cussss nari,0.0,1.0,0.0,0.0,neu
ditamal scbd beneran scbd citayem versi nih semenjak citayem fashion week wkwkw,0.0,1.0,0.0,0.0,neu
nahh pdhal dri kagak tuh bikin fashion week sgla macem niat gasampe kesana mah nongkrong jajan foto scbd validasi sosmed yg is ok pdhal yg bgnian noh fx sudirman kdang mba hits httpstcoccnfzvfrlm,0.0,0.936,0.064,0.296,pos
rt sigitwid pilih lokasi alternatif citayam fashion week disebutsebut wakil gubernur dki ahmad riza patria,0.0,1.0,0.0,0.0,neu
fenomena citayam fashion week arti gagal pemda depok anak muda pilih scbd depok kawasan margonda hasil perintah mudah transportasi krl yg depok mudahmurah scbd,0.0,1.0,0.0,0.0,neu
beenq aniesbaswedan citayem fashion week scbd sudirmancitayembojong gededepok ajangfashion showtak bermututak berbobotmasih lbh maju fashion show rt rt dukuh ajang bencong bancigay kaum tusbol kaum turboadu pantat bubar kotor jkt,0.0,1.0,0.0,0.0,neu
treasuremenfess hyunsuk udah cocok fashion week scbd,0.0,1.0,0.0,0.0,neu
yuto bener kek anis dr scbd fashion week ye,0.0,1.0,0.0,0.0,neu
rt beautymenid citayam fashion week at scbd hangat topik bicara lik satu outfitoutfit super,0.0,0.769,0.231,0.5994,pos
rt himaeksyarunsil info hima review room kaji hima eksyar fokus dalam isu materi revie,0.0,1.0,0.0,0.0,neu
bringharjo fashion week pribumiberjuang ngumpulin uang scbd citarum citarumfashionweek httpstcoqrxadeit,0.0,1.0,0.0,0.0,neu
ngerti ngerti gak ngerti gue emosi citayam scbd fashion week fyp jeje shorts trending reels reelsinstagram dagel indovidgram tweet httpstcofeyzfgz,0.0,1.0,0.0,0.0,neu
citayam fashion week at scbd hangat topik bicara lik satu outfitoutfit supermodel citayam fashion week tau inspirasi nih a thread httpstcolbkrqkvgu,0.0,1.0,0.0,0.0,neu
hasil bocah scbd httpstcovrygrjqhpo,0.0,1.0,0.0,0.0,neu
rt ganjar andika ganda indonesia menang solusi jiwa kreatif fashion week scbd httpstcowxcdw,0.0,1.0,0.0,0.0,neu
hyunsuk ngikutin tren citayam fashion week scbd httpstcoyaqkfmnriy,0.0,1.0,0.0,0.0,neu
mt sumbing fashion week dapet sunrise tenda lenggaklenggok nyusruk lembah biar rame fashion week aja sukasuka rakyat scbd httpstcobazqrdgan,0.0,1.0,0.0,0.0,neu
pilih lokasi alternatif citayam fashion week disebutsebut wakil gubernur dki ahmad riza patria dekat butuh anakanak scbd arizapatria aniesbaswedan httpstcoqzbwqwwim,0.0,1.0,0.0,0.0,neu
rt romitsut aniesbaswedan perintah pemda dkijakarta satpolpp dki tertib tulang lunak scbd citayam fas,0.0,1.0,0.0,0.0,neu
citayam fashion week lawan dominasi kultur seragam bosan budaya milik kuasa tunggal crazy rich baca lengkap tulis soka handinah httpstcoakyfah citayamfashionweek scbd crazy rich httpstcottjfyunai,0.145,0.636,0.218,0.5267,pos
profil ale si cetus citayam fashion week nongkrong scbd citayamfashionweek httpstcoskprqdaz,0.0,1.0,0.0,0.0,neu
nie pas jkt nnti wuyo join scbd fashion week httpstcokdvpekbtlk,0.0,0.804,0.196,0.296,pos
tangkap kamera salah personil bts jung kook jongkok latar jalan scbd ramai bicara sudirman fashion week funfake citayam bojong scbd sudirmanstreet jeje bonge kurma roy sudirmanfashionweek scbdfashionweek httpstcowlsbdxxsa,0.0,1.0,0.0,0.0,neu
rt adriansyahyasin mari bahas citayam fashion week dorong ruang publik akses t,0.0,1.0,0.0,0.0,neu
rt herbertsihomb ganda menang solusi jiwa kreatif fashion week scbd httpstcowpzpqg,0.0,1.0,0.0,0.0,neu
skyyoursss iyh nichk gwehk mw fashion week scbd,0.0,1.0,0.0,0.0,neu
citayam fashion week tunggang lgbt kentara banget kesi anak asli scbd yg kreatif httpstcouqfavbk,0.0,1.0,0.0,0.0,neu
juru parkir scbd citayam fashion week cekcok tugas dishub terima lahan ambil scbd citayamfashionweek dishub parkir lengkap httpstcotxcrkips via youtube,0.0,1.0,0.0,0.0,neu
rt nabilar jokowi tanggap amp dukung positif fenomena citayam fashion week indonesiahebat jokowidod,0.0,1.0,0.0,0.0,neu
rt psi id citayam fashion week gerak komunitas sudirman citayam bojonggede depok scbd energi positif perl,0.0,1.0,0.0,0.0,neu
ganjar andika masak dukung ganjar mikirnya scbd fashion week bikin macet week lg tp jd udah luar ekspektasi masak lestari orang gak respec dg ganjar gara dukung pikir parah,0.0,1.0,0.0,0.0,neu
juru parkir scbd citayam fashion week cekcok tugas dishub terima httpstcoqgqdvefdg,0.0,1.0,0.0,0.0,neu
gandimpratama ndagels scbd singaparna ciputri badak paeh deudeul fashion week,0.0,1.0,0.0,0.0,neu
opportunists behind the citayam fashion weeks intellectual property rights trademark class amp a thread thread citayamfashionweek news opinion isya yurayunita bankbri fact viral trending scbd citayam baimwong newsupdate,0.0,0.845,0.155,0.5574,pos
baim aku event citayam fashion week remaja scbd httpstcolkhmwofzu,0.0,1.0,0.0,0.0,neu
ganda indonesia menang solusi jiwa kreatif fashion week scbd httpstcowxcdwmrizi gandaindonesia gandika httpstcoyptoibmm,0.0,1.0,0.0,0.0,neu
rt negrisemarang kunjung kerja jokowi follow me negrisemarang m citayam fashion week scbd kerja prabowo bukti,0.0,1.0,0.0,0.0,neu
juru parkir scbd citayam fashion week cekcok tugas dishub terima httpstcomlttmk,0.0,1.0,0.0,0.0,neu
wagub dki imbau remaja scbd citayam fashion week waspada lgbt suara perintah citayamfashionweek cfw httpstcoivzuzyto,0.0,1.0,0.0,0.0,neu
citayam fashion week tutup abg scbd padat dukuh megapolitan citayamfashionweek cfw httpstcoretcqysjwf,0.0,1.0,0.0,0.0,neu
rt didie mpraldo lgbt kedok fashion week scbd jijik httpstcoejvrrcosqq,0.0,1.0,0.0,0.0,neu
ganda menang solusi jiwa kreatif fashion week scbd httpstcowpzpqgr gandaindonesia gandika httpstcolbtnmlm,0.0,1.0,0.0,0.0,neu
kaget polisi tutup lokasi citayam fashion week koranjakarta close polisi bogor citayamfashionweek scbd baim bonge jeje roy sudirman harajuku japan indonesia news update viral baca lengkap httpstcodmffgmhblw,0.0,1.0,0.0,0.0,neu
citayam fashion week fenomena bisnis polemik kaya intelektual citayemfashionweek cfw citayam sudirman scbd citayamfashionweek httpstcoposakbmfh,0.0,1.0,0.0,0.0,neu
lokasi citayam fashion week tutup alas citayamfashionweek citayam sudirman scbd citayemfashionweek httpstcobvmvauypd,0.16,0.84,0.0,-0.2732,neg
ramai tren fashion citayam fashion week artis tanah air ramai pasang baim paula uang salah seleb scbd bonge rp juta httpstcomjcqupki jagodangdut bonge baimwong citayam httpstcovjyzjf,0.0,1.0,0.0,0.0,neu
slebewww ratu citayam scbd nih boss senggol eks ya bund citayam fashion week auto artis kota undang acara tv harga outfitnya ngeri ngeri httpstcowihwhnf,0.0,1.0,0.0,0.0,neu
info hima review room kaji hima eksyar fokus dalam isu materi review room kali bahas fenomena trend fashion week scbd viral media sosial tema trend fashion week moralitas gen z httpstcowvnyuxbfd,0.0,1.0,0.0,0.0,neu
i really feel like the whole citayem fashion weekscbd things just blown wayyy out of proportions in terms of public attention i feel bad for those kids cuz they just wanted to hang at a free amp accessible place,0.082,0.775,0.143,0.3774,pos
citayam fashion week gerak komunitas sudirman citayam bojonggede depok scbd energi positif apresiasi dukung httpstcoytwkhep,0.0,1.0,0.0,0.0,neu
jam gadang fashion week kes latah dgn citayamfashionweek scbd tp fashionweek nya kayak gin gua kudu apresiasi httpstcodlvosdudg,0.0,1.0,0.0,0.0,neu
rt hilmi foto citayam fashion week oiya gaess fenomena scbd amp cfw sy ladang dakwah as,0.0,1.0,0.0,0.0,neu
scbd fashion week udah nggak dah kesana,0.0,1.0,0.0,0.0,neu
rt muslimahnewscom pek elus dada saksi anakanak remaja sudirman citayam bojonggede d,0.0,1.0,0.0,0.0,neu
keren unik potret artis ikut mejeng citayam fashion week scbd lihat artis httpstcoxkjihngda,0.0,1.0,0.0,0.0,neu
halo sobat oyen lihat seru super cat citayam fashion week yuk supercat citayamfashionweek scbd httpstcoofdavjkw,0.0,0.782,0.218,0.5994,pos
arizapatria eeehgimana gimana httpstcocejywyoryl httpstcozwxdtauum,0.0,1.0,0.0,0.0,neu
ajang remaja citayam fashion week wujud bonus demografi perhati merahputihcom scbd citayamfashionweek remaja publik httpstcoaowkheqej,0.0,0.8,0.2,0.5423,pos
denyspam sebut citayam fashion week satir tmsk scbd jd sudimaracitayam bojonggededepok eksistensi tunjuk zebra cross trotoar trs terus remaja jalan yg butuh ruang publik utk ekspresi dunianyasiapa jd trendsetter kelakjk lbh kreatif,0.0,1.0,0.0,0.0,neu
rt leonita lestari scbd jakarta riah tular madura makassar tunjung surabaya kayutangan malang madiun,0.0,1.0,0.0,0.0,neu
undulh alhamdulillah tutup jg scbd nya sdh beres nichkarena sdh manfaat kaum lgbt unjuk ridan untung jg mas baim tarik citayam fashion week pdhaki hikmah jg baim hujat netizens,0.0,1.0,0.0,0.0,neu
citayam fashion week scbd httpstcokcybgovs httpstcovvvupjkjt,0.0,1.0,0.0,0.0,neu
jokowi pa jokowi jalan jepang fashion week nih scbd,0.0,1.0,0.0,0.0,neu
