,neg,neu,pos,compound
"I'm surprised that Citayam Fashion Week is the issue. Honestly, I'm a house assistant for a punk kid. I'm lazy, I don't want to work.",0.14,0.676,0.184,0.291
"rt thefirstxxviii nahh even though dri didn't make fashion week all kinds of intentions, didn't want to go there, c",0.064,0.936,0.0,-0.0572
"rt valosenadya, let's be honest, scbd fashion week, appreciation for this menparkeraf",0.0,0.602,0.398,0.765
"rt suckerzpunch, this rapper doesn't sell well in my heart, it's really cool, I'm rapping to challenge lgbt scbd citayam fashion week so that",0.068,0.786,0.146,0.2684
nasi citayam fashion week videodreamcoid video update dreamcoid update citayam fashionweek scbd httpstcoelcbtzjxs,0.0,1.0,0.0,0.0
rt sulistiani scbd teenager confused hanging out citayam fashion week disbanded try cussss nari,0.15,0.85,0.0,-0.3182
"This is the version of the Citayem Citayem that has been patched for real, this version of the Citayem Fashion Week wkwkwk",0.0,1.0,0.0,0.0
"Well, even though you haven't made fashion week since, all kinds of intentions have been there until you go there, hang out and eat photos, social media validation, which is ok, but the big one is fx sudirman sometimes hits httpstcoccnfzvfrlm",0.0,0.925,0.075,0.2846
"RT Sigitwid chooses an alternative location for Citayam Fashion Week, said Deputy Governor of DKI, Ahmad Riza Patria",0.0,1.0,0.0,0.0
"the phenomenon of citayam fashion week, meaning failure, local government of Depok, young people choose scbd, depok, margonda area, the result of an easy order for train transportation that is easy-cheap depok scbd",0.089,0.833,0.078,-0.1027
beenq aniesbaswedan citayem fashion week scbd sudirmancitayembojong gededepok fashion show qualityless weightless event still more advanced fashion show rt rt hamlet event bencong bancigay tusbol people turboadu butt disband dirty jkt,0.085,0.848,0.067,-0.1548
treasuremenfess hyunsuk already fits fashion week scbd,0.0,1.0,0.0,0.0
"Yuto is right, anis from scbd fashion week, right?",0.0,1.0,0.0,0.0
rt beautymenid citayam fashion week at scbd hot topic of conversation like one outfitoutfit super,0.0,0.67,0.33,0.7506
rt himaeksyarunsil info hima review room examine hima eksyar focus on the issue of review material,0.0,1.0,0.0,0.0
bringharjo fashion week natives struggle to raise money scbd citarum citarum fashion week httpstcoqrxadeit,0.15,0.85,0.0,-0.3182
"understand, don't understand, emotion, citayam scbd fashion week fyp jeje shorts trending reels reelsinstagram dagel indovidgram tweet httpstcofeyzfgz",0.0,1.0,0.0,0.0
"Citayam fashion week at scbd is a hot topic of conversation, like one outfitoutfit supermodel, citayam fashion week, you know, this is a thread httpstcolbkrqkvgu",0.0,0.898,0.102,0.3612
scbd boy results httpstcovrygrjqhpo,0.0,1.0,0.0,0.0
rt Gangar Andika Ganda Indonesia wins creative soul solution scbd fashion week httpstcowxcdw,0.0,0.529,0.471,0.836
hyunsuk follows the Citayam fashion week scbd trend httpstcoyaqkfmnriy,0.0,1.0,0.0,0.0
"mt cleft fashion week gets sunrise tents lenggaklenggok nyasruk valley so that fashion week will be busy, just like the people of scbd httpstcobazqrdgan",0.0,0.902,0.098,0.3612
"choose an alternative location for Citayam Fashion Week, said Deputy Governor of DKI, Ahmad Riza Patria, near need children from SCBD Arizapatria Aniesbaswedan httpstcoqzbwqwwim",0.0,1.0,0.0,0.0
